OID_,FID_SUOMI_XYTableToPoint,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,FID_อุทยานแห่งชาติแม่ปิง_Merge,AREA,PERIMETER,PROV_CODE,PROV_NAM_T,PROV_NAM_E,REGION,DNPO_CODE,DNPO_TH,LOCATION,TYPT,FR_ID,FR_NAME,PROVINCE,SOURCE,TYPE,F_CODE,KM2,RAI,fullname
1,20089,17.263210000000001,98.944730000000007,314.939999999999998,0.590000000000000,0.700000000000000,3/2/2023 0:00:00,1953,N,VIIRS,n,2.0NRT,292.889999999999986,2.510000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
2,21057,17.264820000000000,98.941620000000000,334.230000000000018,0.420000000000000,0.450000000000000,3/3/2023 0:00:00,701,N,VIIRS,l,2.0NRT,306.029999999999973,4.610000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
3,20088,17.269060000000000,98.948719999999994,309.779999999999973,0.590000000000000,0.700000000000000,3/2/2023 0:00:00,1953,N,VIIRS,n,2.0NRT,291.850000000000023,1.430000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
4,27055,17.269290000000002,98.933970000000002,307.029999999999973,0.400000000000000,0.370000000000000,3/5/2023 0:00:00,1855,N,VIIRS,n,2.0NRT,293.699999999999989,1.240000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
5,21060,17.269349999999999,98.943979999999996,333.959999999999980,0.420000000000000,0.450000000000000,3/3/2023 0:00:00,701,N,VIIRS,n,2.0NRT,304.160000000000025,4.610000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
6,21058,17.269790000000000,98.947509999999994,367.000000000000000,0.420000000000000,0.450000000000000,3/3/2023 0:00:00,701,N,VIIRS,h,2.0NRT,307.139999999999986,8.190000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
7,24627,17.269960000000001,98.937910000000002,305.949999999999989,0.460000000000000,0.390000000000000,3/4/2023 0:00:00,1917,N,VIIRS,n,2.0NRT,292.949999999999989,1.220000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
8,20087,17.270119999999999,98.944040000000001,308.569999999999993,0.590000000000000,0.700000000000000,3/2/2023 0:00:00,1953,N,VIIRS,n,2.0NRT,291.850000000000023,1.430000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
9,21059,17.270230000000002,98.951009999999997,338.420000000000016,0.420000000000000,0.450000000000000,3/3/2023 0:00:00,701,N,VIIRS,n,2.0NRT,305.879999999999995,8.190000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
10,23514,17.270550000000000,98.939570000000003,333.009999999999991,0.390000000000000,0.360000000000000,3/4/2023 0:00:00,644,N,VIIRS,l,2.0NRT,305.930000000000007,3.150000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
11,23513,17.273219999999998,98.957710000000006,346.879999999999995,0.390000000000000,0.360000000000000,3/4/2023 0:00:00,644,N,VIIRS,n,2.0NRT,306.620000000000005,6.800000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
12,23519,17.273350000000001,98.935350000000000,334.410000000000025,0.390000000000000,0.360000000000000,3/4/2023 0:00:00,644,N,VIIRS,n,2.0NRT,307.079999999999984,4.010000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
13,23518,17.273879999999998,98.938929999999999,342.420000000000016,0.390000000000000,0.360000000000000,3/4/2023 0:00:00,644,N,VIIRS,n,2.0NRT,308.509999999999991,9.690000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
14,24625,17.274339999999999,98.934049999999999,311.389999999999986,0.460000000000000,0.390000000000000,3/4/2023 0:00:00,1917,N,VIIRS,n,2.0NRT,293.199999999999989,1.110000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
15,23517,17.275480000000002,98.949799999999996,339.470000000000027,0.390000000000000,0.360000000000000,3/4/2023 0:00:00,644,N,VIIRS,n,2.0NRT,308.129999999999995,3.880000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
16,21683,17.275929999999999,98.944249999999997,308.839999999999975,0.590000000000000,0.530000000000000,3/3/2023 0:00:00,1934,N,VIIRS,n,2.0NRT,292.720000000000027,3.370000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
17,23516,17.276009999999999,98.953419999999994,345.490000000000009,0.390000000000000,0.360000000000000,3/4/2023 0:00:00,644,N,VIIRS,n,2.0NRT,305.170000000000016,5.720000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
18,27049,17.276570000000000,98.931560000000005,304.110000000000014,0.400000000000000,0.370000000000000,3/5/2023 0:00:00,1855,N,VIIRS,n,2.0NRT,292.629999999999995,0.360000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
19,23522,17.277200000000001,98.938260000000000,351.500000000000000,0.390000000000000,0.360000000000000,3/4/2023 0:00:00,644,N,VIIRS,n,2.0NRT,306.470000000000027,9.690000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
20,23521,17.277740000000001,98.941919999999996,348.560000000000002,0.390000000000000,0.360000000000000,3/4/2023 0:00:00,644,N,VIIRS,n,2.0NRT,309.170000000000016,9.690000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
21,24622,17.277940000000001,98.956280000000007,315.339999999999975,0.460000000000000,0.390000000000000,3/4/2023 0:00:00,1917,N,VIIRS,n,2.0NRT,292.319999999999993,1.150000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
22,24623,17.278020000000001,98.934240000000003,304.009999999999991,0.460000000000000,0.390000000000000,3/4/2023 0:00:00,1917,N,VIIRS,n,2.0NRT,292.040000000000020,1.110000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
23,24621,17.278700000000001,98.951809999999995,304.220000000000027,0.460000000000000,0.390000000000000,3/4/2023 0:00:00,1917,N,VIIRS,n,2.0NRT,291.740000000000009,1.150000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
24,23520,17.278810000000000,98.949209999999994,340.069999999999993,0.390000000000000,0.360000000000000,3/4/2023 0:00:00,644,N,VIIRS,n,2.0NRT,306.079999999999984,3.880000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
25,27048,17.279920000000001,98.932289999999995,304.189999999999998,0.400000000000000,0.370000000000000,3/5/2023 0:00:00,1855,N,VIIRS,n,2.0NRT,291.949999999999989,0.360000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
26,26134,17.280310000000000,98.959479999999999,334.300000000000011,0.490000000000000,0.400000000000000,3/5/2023 0:00:00,626,N,VIIRS,n,2.0NRT,300.540000000000020,6.790000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
27,24620,17.281639999999999,98.934770000000000,302.069999999999993,0.460000000000000,0.390000000000000,3/4/2023 0:00:00,1917,N,VIIRS,n,2.0NRT,291.490000000000009,0.340000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
28,23523,17.282150000000001,98.948719999999994,330.449999999999989,0.390000000000000,0.360000000000000,3/4/2023 0:00:00,644,N,VIIRS,l,2.0NRT,302.019999999999982,2.220000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
29,24617,17.283010000000001,98.948400000000007,321.060000000000002,0.460000000000000,0.390000000000000,3/4/2023 0:00:00,1917,N,VIIRS,n,2.0NRT,292.670000000000016,1.620000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
30,24615,17.283190000000001,98.951409999999996,312.290000000000020,0.460000000000000,0.390000000000000,3/4/2023 0:00:00,1917,N,VIIRS,n,2.0NRT,291.850000000000023,1.650000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
31,27044,17.283270000000002,98.956090000000003,304.819999999999993,0.400000000000000,0.370000000000000,3/5/2023 0:00:00,1855,N,VIIRS,n,2.0NRT,292.199999999999989,0.890000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
32,31168,17.283529999999999,98.919060000000002,309.329999999999984,0.370000000000000,0.580000000000000,3/8/2023 0:00:00,1940,N,VIIRS,n,2.0NRT,294.250000000000000,1.740000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
33,24618,17.283729999999998,98.944209999999998,306.220000000000027,0.460000000000000,0.390000000000000,3/4/2023 0:00:00,1917,N,VIIRS,n,2.0NRT,292.360000000000014,1.620000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
34,24614,17.283909999999999,98.947339999999997,321.540000000000020,0.460000000000000,0.390000000000000,3/4/2023 0:00:00,1917,N,VIIRS,n,2.0NRT,293.009999999999991,2.540000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
35,28632,17.284360000000000,98.927710000000005,305.579999999999984,0.450000000000000,0.470000000000000,3/6/2023 0:00:00,1838,N,VIIRS,n,2.0NRT,292.360000000000014,1.160000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
36,29561,17.285350000000001,98.926649999999995,339.250000000000000,0.540000000000000,0.680000000000000,3/7/2023 0:00:00,728,N,VIIRS,n,2.0NRT,302.990000000000009,7.860000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
37,27043,17.285540000000001,98.940939999999998,307.600000000000023,0.400000000000000,0.370000000000000,3/5/2023 0:00:00,1855,N,VIIRS,n,2.0NRT,292.259999999999991,1.320000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
38,24616,17.285889999999998,98.953230000000005,304.569999999999993,0.460000000000000,0.390000000000000,3/4/2023 0:00:00,1917,N,VIIRS,n,2.0NRT,291.620000000000005,0.700000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
39,26137,17.286110000000001,98.948759999999993,332.420000000000016,0.490000000000000,0.400000000000000,3/5/2023 0:00:00,626,N,VIIRS,n,2.0NRT,300.740000000000009,5.470000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
40,27037,17.286639999999998,98.956670000000003,310.310000000000002,0.400000000000000,0.370000000000000,3/5/2023 0:00:00,1855,N,VIIRS,n,2.0NRT,292.370000000000005,0.780000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
41,30069,17.286660000000001,98.923969999999997,304.970000000000027,0.740000000000000,0.760000000000000,3/7/2023 0:00:00,1957,N,VIIRS,n,2.0NRT,292.180000000000007,3.000000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
42,27036,17.287199999999999,98.952849999999998,301.790000000000020,0.400000000000000,0.370000000000000,3/5/2023 0:00:00,1855,N,VIIRS,n,2.0NRT,291.430000000000007,1.030000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
43,29562,17.288000000000000,98.926990000000004,333.079999999999984,0.540000000000000,0.680000000000000,3/7/2023 0:00:00,728,N,VIIRS,n,2.0NRT,300.699999999999989,8.340000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
44,27035,17.288360000000001,98.945099999999996,309.470000000000027,0.400000000000000,0.370000000000000,3/5/2023 0:00:00,1855,N,VIIRS,n,2.0NRT,292.810000000000002,0.900000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
45,27028,17.290590000000002,98.953320000000005,305.910000000000025,0.400000000000000,0.370000000000000,3/5/2023 0:00:00,1855,N,VIIRS,n,2.0NRT,292.120000000000005,1.030000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
46,27027,17.291170000000001,98.949430000000007,319.480000000000018,0.400000000000000,0.370000000000000,3/5/2023 0:00:00,1855,N,VIIRS,n,2.0NRT,292.899999999999977,1.030000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
47,27026,17.291750000000000,98.945560000000000,305.250000000000000,0.400000000000000,0.370000000000000,3/5/2023 0:00:00,1855,N,VIIRS,n,2.0NRT,292.269999999999982,0.900000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
48,28630,17.291960000000000,98.937070000000006,308.209999999999980,0.450000000000000,0.470000000000000,3/6/2023 0:00:00,1838,N,VIIRS,n,2.0NRT,292.939999999999998,0.980000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
49,28629,17.292520000000000,98.932630000000003,305.819999999999993,0.450000000000000,0.470000000000000,3/6/2023 0:00:00,1838,N,VIIRS,n,2.0NRT,293.000000000000000,0.980000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
50,31492,17.302949999999999,98.943629999999999,333.009999999999991,0.430000000000000,0.380000000000000,3/9/2023 0:00:00,650,N,VIIRS,l,2.0NRT,307.300000000000011,3.610000000000000,D,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
51,17511,17.362790000000000,98.984409999999997,310.870000000000005,0.570000000000000,0.520000000000000,3/1/2023 0:00:00,1832,N,VIIRS,n,2.0NRT,294.649999999999977,2.570000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
52,34488,17.370760000000001,98.934119999999993,309.779999999999973,0.380000000000000,0.360000000000000,3/10/2023 0:00:00,1902,N,VIIRS,n,2.0NRT,294.029999999999973,0.500000000000000,N,1,247567008.0000000,193511.0000000,63,จ.ตาก,Changwat Tak,ภาคเหนือ,14A,สำนักบริหารพื้นท,ตาก,อุทยานแห่งชาติ,1033,แม่ปิง,เชียงใหม่ ลำพูน ตาก,เร่งด่วน,NPRK,10,247.566868348000014,154729.375000000000000,อุทยานแห่งชาติ แม่ปิง
